Start date	End date	Heavenly branch
10 February 1910	29 January 1911	Metal Dog
28 January 1922	15 February 1923	Water Dog
14 February 1934	3 February 1935	Wood Dog
2 February 1946	21 January 1947	Fire Dog
18 February 1958	7 February 1959	Earth Dog
6 February 1970	26 January 1971	Metal Dog
25 January 1982	12 February 1983	Water Dog
10 February 1994	30 January 1995	Wood Dog
29 January 2006	17 February 2007	Fire Dog
16 February 2018	4 February 2019	Earth Dog
3 February 2030	22 January 2031	Metal Dog
22 January 2042	9 February 2043	Water Dog
8 February 2054	27 January 2055	Wood Dog
26 January 2066	13 February 2067	Fire Dog
12 February 2078	1 February 2079	Earth Dog
30 January 2090	17 February 2091	Metal Dog
17 February 2102	6 February 2103	Water Dog 
